id_establecimiento,descripcion,estado,fecha_alta,fecha_ultima_modificacion,id_usuario,id_localidad,id_direccion,id_tipo_establecimiento,id_jurisdiccion,cod_dominio,fecha_baja
243,VIDALINDA,A,2020-08-12 16:54:42,2020-08-12 16:54:46,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
244,INSTITUCION SERES,A,2020-08-13 14:36:59,2020-08-13 14:37:02,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
245,DISPOSITIVOS POST DETECTAR,A,2020-08-13 14:37:37,2020-08-13 14:37:40,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
246,CONSEJO DERECHOS DEL NIÑO,A,2020-08-13 14:38:20,2020-08-13 14:38:24,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
247,DONACION DE PLASMA,A,2020-08-13 14:38:58,2020-08-13 14:39:02,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
248,DEFENSORIA DEL PUEBLO,A,2020-08-13 14:39:46,2020-08-13 14:39:50,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
249,DG DE HIGIENE URBANA,A,2020-08-13 14:40:47,2020-08-13 14:40:50,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
250,ARZOBISPADO DE BUENOS AIRES,A,2020-08-13 14:41:23,2020-08-13 14:41:27,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
259,FUNDACION HOSPITALARIA,A,2020-12-29 00:00:00,2020-12-29 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
260,MATER DEI,A,2020-12-29 00:00:00,2020-12-29 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
261,ALEXANDER FLEMING SA,A,2020-12-29 00:00:00,2020-12-29 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
262,SANATORIO TRINIDAD MITRE,A,2020-12-29 00:00:00,2020-12-29 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
263,FUNDACION FAVALORO,A,2020-12-29 00:00:00,2020-12-29 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
264,SANATORIO GUEMES,A,2020-12-29 00:00:00,2020-12-29 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
265,SANATORIO SAN JOSE,A,2020-12-29 00:00:00,2020-12-29 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
266,OSPG,A,2020-12-29 00:00:00,2020-12-29 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
267,OSPECON,A,2020-12-29 00:00:00,2020-12-29 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
271,SANATORIO TRINIDAD PALERMO,A,2021-01-04 00:00:00,2021-01-04 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
272,SANATORIO MILSTEIN,A,2021-01-04 00:00:00,2021-01-04 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
273,SANATORIO ANTARTIDA,A,2021-01-04 00:00:00,2021-01-04 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
254,TALLERES PROTEGIDOS,A,2021-01-04 00:00:00,2021-01-04 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
274,SANATORIO DUPUYTREN,A,2021-01-05 00:00:00,2021-01-05 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
275,CEMIC,A,2021-01-05 00:00:00,2021-01-05 00:00:00,1,1.0,3,2,2,2.16.840.1.113883.2.10.27,
