Unnamed: 0,id_local,descripcion,estado,fecha_alta,fecha_baja,fecha_ultima_modificacion,id_planta,descripcion_numerica,cod_sector,id_mostrador,cod_dominio,id_usuario,id_sector,ambito
0,2150,Consultorio 9,A,2018-05-24 15:00:40,,2018-05-24 15:00:40,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
1,2151,Consultorio 10,A,2018-05-24 15:01:05,,2018-05-24 15:01:05,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
2,2152,Consultorio 11,A,2018-05-24 15:01:47,,2018-05-24 15:01:47,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
3,2153,Consultorio 12,A,2018-05-24 15:02:19,,2018-05-24 15:02:19,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
4,2154,Consultorio 13,A,2018-05-24 15:03:23,,2018-05-24 15:03:23,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
5,2155,Consultorio 14,A,2018-05-24 15:03:49,,2018-05-24 15:03:49,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
6,2156,Consultorio 14,A,2018-05-24 15:04:30,,2018-05-24 15:04:30,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
7,2157,Consultorio 15,A,2018-05-24 15:06:39,,2018-05-24 15:06:39,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
8,2158,Consultorio 16,A,2018-05-24 15:07:27,,2018-05-24 15:07:27,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
9,2159,Consultorio 17,A,2018-05-24 15:07:51,,2018-05-24 15:07:51,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
10,2160,Consultorio 18,A,2018-05-24 15:08:36,,2018-05-24 15:08:36,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
11,2161,Consultorio 19,A,2018-05-24 15:09:07,,2018-05-24 15:09:07,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
12,2162,Consultorio 20,A,2018-05-24 15:09:35,,2018-05-24 15:09:35,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
13,2163,Consultorio 21,A,2018-05-24 15:10:11,,2018-05-24 15:10:11,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
14,2164,Consultorio 22,A,2018-05-24 15:10:34,,2018-05-24 15:10:34,2141,,,,2.16.840.1.113883.2.10.27,1,,ambulatorio
