id_planta,descripcion,estado,fecha_alta,fecha_baja,fecha_ultima_modificacion,id_edificio,cod_dominio,id_usuario
4428,Primer Piso,A,2020-03-29 13:13:42,,2020-03-29 13:13:42,4385,2.16.840.1.113883.2.10.27,1
4431,Primer Piso,A,2020-03-29 13:15:58,,2020-03-29 13:15:58,4386,2.16.840.1.113883.2.10.27,1
4432,Primer Piso,A,2020-03-29 13:16:35,,2020-03-29 13:16:35,4387,2.16.840.1.113883.2.10.27,1
4433,Segundo Piso,A,2020-03-29 13:16:58,,2020-03-29 13:16:58,4387,2.16.840.1.113883.2.10.27,1
4434,Planta Baja,A,2020-03-29 13:17:55,,2020-03-29 13:17:55,4388,2.16.840.1.113883.2.10.27,1
4443,Primer Piso,A,2020-03-29 13:38:52,,2020-03-29 13:38:52,4389,2.16.840.1.113883.2.10.27,1
4437,Subsuelo,A,2020-03-29 13:34:49,,2020-03-29 13:34:49,4390,2.16.840.1.113883.2.10.27,1
4444,Planta Baja,A,2020-03-29 13:40:04,,2020-03-29 13:40:04,4391,2.16.840.1.113883.2.10.27,1
4445,Planta Baja,A,2020-03-29 13:40:53,,2020-03-29 13:40:53,4392,2.16.840.1.113883.2.10.27,1
4446,Primer Piso,A,2020-03-29 13:41:17,,2020-03-29 13:41:17,4393,2.16.840.1.113883.2.10.27,1
4447,Segundo Piso,A,2020-03-29 13:41:53,,2020-03-29 13:41:53,4393,2.16.840.1.113883.2.10.27,1
4448,Planta Baja,A,2020-03-29 13:42:41,,2020-03-29 13:42:41,4394,2.16.840.1.113883.2.10.27,1
4449,Planta Baja,A,2020-03-29 13:43:29,,2020-03-29 13:43:29,4395,2.16.840.1.113883.2.10.27,1
4450,Planta Baja,A,2020-03-29 13:44:11,,2020-03-29 13:44:11,4396,2.16.840.1.113883.2.10.27,1
4451,Primer Piso,A,2020-03-29 13:44:52,,2020-03-29 13:44:52,4396,2.16.840.1.113883.2.10.27,1
4408,Planta Baja,A,2020-03-28 23:48:43,,2020-03-28 23:48:43,4407,2.16.840.1.113883.2.10.27,1
4436,Subsuelo,A,2020-03-29 13:22:41,,2020-04-15 13:42:38,4435,2.16.840.1.113883.2.10.27,1
4453,Planta Baja,A,2020-03-29 15:44:01,,2020-03-29 15:44:01,4452,2.16.840.1.113883.2.10.27,1
4455,Segundo Piso,A,2020-03-29 16:55:24,,2020-03-29 16:55:24,4454,2.16.840.1.113883.2.10.27,1
4463,Cuarto Piso,A,2020-03-29 17:04:09,,2020-03-29 17:04:09,4456,2.16.840.1.113883.2.10.27,1
4465,Segundo Piso,A,2020-03-29 17:05:48,,2020-03-29 17:05:48,4456,2.16.840.1.113883.2.10.27,1
4466,Primer Piso,A,2020-03-29 17:06:30,,2020-03-29 17:06:30,4456,2.16.840.1.113883.2.10.27,1
4467,Tercer Piso,A,2020-03-29 17:07:29,,2020-03-29 17:07:29,4456,2.16.840.1.113883.2.10.27,1
4475,Planta Baja,A,2020-03-29 17:11:46,,2020-03-29 17:11:46,4456,2.16.840.1.113883.2.10.27,1
4464,Planta Baja,A,2020-03-29 17:05:03,,2020-03-29 17:05:03,4457,2.16.840.1.113883.2.10.27,1
4468,Primer Piso,A,2020-03-29 17:07:56,,2020-03-29 17:07:56,4458,2.16.840.1.113883.2.10.27,1
4469,Segundo Piso,A,2020-03-29 17:08:38,,2020-03-29 17:08:38,4458,2.16.840.1.113883.2.10.27,1
4470,Primer Piso,A,2020-03-29 17:09:13,,2020-03-29 17:09:13,4459,2.16.840.1.113883.2.10.27,1
4471,Primer Piso,A,2020-03-29 17:09:41,,2020-03-29 17:09:41,4460,2.16.840.1.113883.2.10.27,1
4472,Segundo Piso,A,2020-03-29 17:10:10,,2020-03-29 17:10:10,4460,2.16.840.1.113883.2.10.27,1
4473,Planta Baja,A,2020-03-29 17:10:41,,2020-03-29 17:10:41,4460,2.16.840.1.113883.2.10.27,1
4474,Primer Piso,A,2020-03-29 17:11:17,,2020-03-29 17:11:17,4461,2.16.840.1.113883.2.10.27,1
4479,Subsuelo,A,2020-04-01 21:41:22,,2020-04-01 21:41:22,4478,2.16.840.1.113883.2.10.27,1
4481,Segundo Piso,A,2020-04-02 09:40:49,,2020-04-02 10:07:19,4480,2.16.840.1.113883.2.10.27,1
4482,Tercer Piso,A,2020-04-02 10:08:14,,2020-04-02 10:08:14,4480,2.16.840.1.113883.2.10.27,1
4484,Planta Baja,A,2020-04-02 11:07:55,,2020-04-02 11:07:55,4483,2.16.840.1.113883.2.10.27,1
4486,Subsuelo,A,2020-04-02 14:43:14,,2020-04-02 14:43:14,4485,2.16.840.1.113883.2.10.27,1
4487,PB,A,2020-04-02 14:44:36,,2020-05-19 14:56:30,4485,2.16.840.1.113883.2.10.27,1
4488,Piso 1,A,2020-04-02 14:45:13,,2020-05-19 14:56:22,4485,2.16.840.1.113883.2.10.27,1
4489,Piso 2,A,2020-04-02 14:45:43,,2020-05-19 14:56:11,4485,2.16.840.1.113883.2.10.27,1
12784,Piso 2,A,2020-05-20 01:02:07,,2020-05-20 01:02:07,4485,2.16.840.1.113883.2.10.27,1
12810,Piso 2,A,2020-05-20 01:17:24,,2020-05-20 01:17:24,4485,2.16.840.1.113883.2.10.27,1
4491,PB,A,2020-04-05 17:16:29,,2020-05-19 14:55:57,4490,2.16.840.1.113883.2.10.27,1
4493,Subsuelo,A,2020-04-05 17:24:36,,2020-04-05 17:24:36,4492,2.16.840.1.113883.2.10.27,1
4495,Planta Baja,A,2020-04-05 17:29:00,,2020-04-05 17:29:00,4494,2.16.840.1.113883.2.10.27,1
4497,Planta Baja,A,2020-04-05 17:32:58,,2020-04-05 17:32:58,4496,2.16.840.1.113883.2.10.27,1
4499,PB,A,2020-04-07 10:18:15,,2020-05-19 14:55:52,4498,2.16.840.1.113883.2.10.27,1
4501,PB,A,2020-04-07 10:20:27,,2020-05-19 14:55:45,4500,2.16.840.1.113883.2.10.27,1
4507,PB,A,2020-04-13 17:29:37,,2020-05-19 14:55:38,4505,2.16.840.1.113883.2.10.27,1
4508,Subsuelo,A,2020-04-13 17:51:52,,2020-04-13 17:51:52,4506,2.16.840.1.113883.2.10.27,1
4509,PB,A,2020-04-13 17:53:54,,2020-05-19 14:54:45,4506,2.16.840.1.113883.2.10.27,1
